Nombre,Dulce,Crujiente,Tipo
Parsley - Fresh,99,63,Aloaceae
"Cheese - Romano, Grated",11,21,Solanaceae
Spaghetti Squash,38,14,Asteraceae
Drambuie,91,92,Ericaceae
The Pop Shoppe - Grape,92,44,Poaceae
Bagel - 12 Grain Preslice,61,100,Teloschistaceae
Oil - Coconut,79,87,Tamaricaceae
Water Chestnut - Canned,72,27,Parmeliaceae
Kiwi,11,66,Poaceae
Puree - Raspberry,84,82,Fabaceae
Absolut Citron,60,51,Convolvulaceae
Grapes - Green,77,40,Asteraceae
Wine - Stoneliegh Sauvignon,6,73,Asteraceae
Pectin,98,5,Fabaceae
"Stock - Beef, Brown",3,41,Asteraceae
"Pasta - Rotini, Colour, Dry",65,18,Scrophulariaceae
Slt - Individual Portions,58,81,Dryopteridaceae
French Pastries,69,13,Malvaceae
Bagelers - Cinn / Brown,94,43,Violaceae
"Vinegar - Balsamic, White",17,63,Poaceae
"Oil - Olive, Extra Virgin",12,95,Myrtaceae
Rosemary - Fresh,7,30,Rosaceae
"Rum - Cream, Amarula",99,8,Passifloraceae
Apricots - Halves,16,71,Piperaceae
"Beef - Ox Tongue, Pickled",68,86,Fabaceae
Fudge - Cream Fudge,8,15,Ericaceae
Pernod,73,43,Lamiaceae
"Pepper - Chipotle, Canned",8,41,Poaceae
Oil - Hazelnut,1,37,Parmeliaceae
Milk - Condensed,95,3,Myrtaceae
Bread - French Stick,10,69,Polemoniaceae
Bread - Rosemary Focaccia,38,76,Orthotrichaceae
Sugar - Splenda Sweetener,17,35,Pteridaceae
Hot Choc Vending,87,26,Menispermaceae
Chick Peas - Dried,88,26,Amblystegiaceae
"Mushroom - Oyster, Fresh",85,72,Ophioglossaceae
Coffee Caramel Biscotti,90,38,Asteraceae
"Placemat - Scallop, White",96,98,Asteraceae
Flour - Strong,61,14,Saxifragaceae
"Pork - Bacon, Double Smoked",37,87,Liliaceae
Beer - Tetleys,7,60,Poaceae
Venison - Ground,60,13,Scrophulariaceae
"Lemonade - Island Tea, 591 Ml",80,83,Fabaceae
Aspic - Clear,81,30,Dicranaceae
Green Tea Refresher,92,45,Fabaceae
Coffee - French Vanilla Frothy,33,80,Lobariaceae
"Wine - Magnotta - Red, Baco",52,27,Viscaceae
Beef - Inside Round,87,65,Asteraceae
Fuji Apples,64,46,Apiaceae
Quail - Jumbo Boneless,24,28,Cactaceae
"Veal - Insides, Grains",34,56,Campanulaceae
Wasabi Powder,84,58,Scrophulariaceae
Hog / Sausage Casing - Pork,59,34,Brachytheciaceae
Skewers - Bamboo,3,84,Asteraceae
Praline Paste,35,12,Stereocaulaceae
Mince Meat - Filling,58,31,Gentianaceae
Cumin - Ground,11,60,Poaceae
"Fish - Halibut, Cold Smoked",93,3,Lamiaceae
Soup - Chicken And Wild Rice,64,66,Euphorbiaceae
Ecolab - Ster Bac,15,28,Alismataceae
"Pepper - Black, Crushed",89,92,Teloschistaceae
Tea - Jasmin Green,4,11,Poaceae
Lettuce - Sea / Sea Asparagus,21,75,Cyperaceae
Cafe Royale,63,36,Cactaceae
"Orange - Canned, Mandarin",27,1,Cyperaceae
Sprouts - Corn,27,22,Fontinalaceae
Wine - Lou Black Shiraz,16,33,Pterigynandraceae
"Cheese - Mozzarella, Shredded",59,7,Garryaceae
Squid - U 5,73,48,Graphidaceae
Fennel,85,88,Caryophyllaceae
Wine - Soave Folonari,11,34,Liliaceae
Salt - Celery,84,100,Ranunculaceae
Wine - Maipo Valle Cabernet,89,100,Poaceae
"Beef - Kindney, Whole",96,5,Psoraceae
Bread - Hamburger Buns,60,48,Fabaceae
Beef - Tenderloin,74,17,Asteraceae
"Seedlings - Mix, Organic",28,100,Fabaceae
Bread - 10 Grain,77,16,Boraginaceae
Sea Bass - Whole,59,25,Apiaceae
Raspberries - Frozen,24,17,Juglandaceae
Ecolab - Power Fusion,57,97,Cuscutaceae
"Tomatoes - Vine Ripe, Yellow",41,98,Asteraceae
Pineapple - Regular,100,82,Asteraceae
Gherkin,70,84,Berberidaceae
Red Cod Fillets - 225g,37,29,Fabaceae
Bagelers,50,91,Valerianaceae
Bread - Pita,33,4,Campanulaceae
"Soup - Knorr, Chicken Noodle",86,22,Poaceae
Pie Shell - 5,48,38,Lamiaceae
Milk Powder,19,53,Aristolochiaceae
Kippers - Smoked,73,24,Caryophyllaceae
Tea - Vanilla Chai,69,13,Poaceae
Chinese Foods - Cantonese,52,45,Asteraceae
Wine - Baron De Rothschild,23,17,Polygonaceae
Pork - Shoulder,38,71,Convolvulaceae
Mushroom - King Eryingii,34,19,Ochnaceae
Wine - Cotes Du Rhone Parallele,68,14,Rubiaceae
"Crab - Dungeness, Whole",39,10,Asteraceae
Flour - Fast / Rapid,85,60,Acanthaceae
Bread - 10 Grain,23,90,Rubiaceae
"Pasta - Spaghetti, Dry",66,29,Calymperaceae
Cranberry Foccacia,10,83,Liliaceae
Pork - Suckling Pig,10,11,Rosaceae
Dooleys Toffee,84,47,Poaceae
"Mushroom - Enoki, Dry",25,2,Chenopodiaceae
Energy Drink Red Bull,27,73,Lamiaceae
"Cod - Salted, Boneless",66,38,Polygonaceae
Appetizer - Crab And Brie,87,56,Brassicaceae
Cake - French Pear Tart,76,21,Papaveraceae
"Tendrils - Baby Pea, Organic",42,56,Acanthaceae
Beef - Prime Rib Aaa,15,33,Poaceae
External Supplier,67,49,Asteraceae
Dried Peach,26,47,Asteraceae
Cake - Mini Potato Pancake,11,53,Boraginaceae
Wine - Placido Pinot Grigo,89,80,Combretaceae
Cardamon Ground,63,45,Dryopteridaceae
"Nut - Almond, Blanched, Ground",99,93,Dryopteridaceae
Jam - Raspberry,29,22,Amaranthaceae
Plaintain,20,41,Portulacaceae
Vodka - Smirnoff,10,30,Brassicaceae
"Tomatoes - Vine Ripe, Red",61,47,Bacidiaceae
Sprouts - Brussel,92,15,Asteraceae
Uniform Linen Charge,69,89,Funariaceae
Salt - Kosher,80,65,Myrtaceae
Chicken - Ground,18,3,Chrysotrichaceae
Mix - Cocktail Strawberry Daiquiri,10,61,Fabaceae
Oil - Sunflower,7,65,Iridaceae
Pur Value,85,11,Brigantiaceae
Temperature Recording Station,94,40,Scrophulariaceae
Oil - Hazelnut,77,19,Salicaceae
Chervil - Fresh,72,11,Rhizocarpaceae
Mix - Cocktail Ice Cream,45,31,Saxifragaceae
Langers - Mango Nectar,72,36,Teloschistaceae
Lady Fingers,79,9,Pleuroziopsidaceae
Compound - Passion Fruit,35,1,Brassicaceae
"Bread - Rolls, Corn",75,25,Clusiaceae
Pepperoni Slices,64,47,Scrophulariaceae
Flower - Leather Leaf Fern,42,64,Brassicaceae
Beef - Tenderloin,88,23,Ranunculaceae
Vinegar - Cider,89,51,Thelenellaceae
"Pasta - Spaghetti, Dry",2,49,Malvaceae
Cheese - Brie Roitelet,77,36,Poaceae
Wine - Maipo Valle Cabernet,57,78,Polygonaceae
Kaffir Lime Leaves,54,39,Scrophulariaceae
Bouillion - Fish,78,88,Cyperaceae
"Flour - Bran, Red",77,9,Lythraceae
Oil - Olive,38,76,Urticaceae
Wine - Riesling Dr. Pauly,18,53,Onagraceae
"Mushroom - Trumpet, Dry",13,10,Acarosporaceae
Beef - Bresaola,76,22,Brachytheciaceae
"Pasta - Linguini, Dry",25,36,Lamiaceae
"Nut - Almond, Blanched, Ground",25,1,Parmeliaceae
"Dill - Primerba, Paste",78,80,Thelenellaceae
Dasheen,70,5,Asteraceae
Lighter - Bbq,84,86,Orchidaceae
Wine - Jaboulet Cotes Du Rhone,64,25,Poaceae
Rice Paper,44,13,Ericaceae
Muffin Mix - Blueberry,59,29,Fumariaceae
"Bread - Crumbs, Bulk",80,56,Cyperaceae
Cheese - Grana Padano,29,41,Scrophulariaceae
Green Tea Refresher,43,55,Hydrophyllaceae
Jello - Assorted,4,97,Onagraceae
Bread - Olive,25,28,Poaceae
Mix Pina Colada,25,84,Oxalidaceae
The Pop Shoppe Pinapple,81,19,Brassicaceae
Rice Paper,29,97,Apiaceae
Quail Eggs - Canned,33,60,Salicaceae
Pepper - Scotch Bonnet,67,41,Rosaceae
Truffle Cups - Brown,61,42,Cyperaceae
"Rum - Cream, Amarula",68,80,Fabaceae
Gatorade - Lemon Lime,70,59,Umbilicariaceae
Drambuie,22,64,Fabaceae
Bread - Flat Bread,61,22,Teloschistaceae
"Cheese - Brie,danish",64,81,Asteraceae
Muffin Mix - Corn Harvest,81,40,Acanthaceae
Cup - Translucent 7 Oz Clear,67,44,Asteraceae
"Bread - White, Sliced",65,61,Poaceae
Octopus,46,73,Boraginaceae
Bandage - Flexible Neon,94,24,Orchidaceae
Rosemary - Dry,27,100,Fabaceae
"Syrup - Golden, Lyles",79,12,Verrucariaceae
Basil - Fresh,77,12,Fabaceae
Pork - European Side Bacon,50,23,Asteraceae
White Baguette,78,43,Fabaceae
Cheese - Fontina,48,95,Rosaceae
"Cherries - Maraschino,jar",26,1,Pteridaceae
Table Cloth 53x53 White,55,59,Scrophulariaceae
Dill Weed - Fresh,37,40,Parmeliaceae
Puree - Mango,40,87,Boraginaceae
Bread - Flat Bread,90,30,Orobanchaceae
Cake - Dulce De Leche,26,31,Cuscutaceae
Straws - Cocktale,36,83,Amblystegiaceae
"Pork - Sausage, Medium",63,37,Fabaceae
Beer - Camerons Cream Ale,33,39,Asteraceae
Potatoes - Peeled,96,78,Fabaceae
Aspic - Amber,90,51,Rubiaceae
"Bag - Bread, White, Plain",95,75,Apocynaceae
Coffee Swiss Choc Almond,58,43,Sterculiaceae
Wine - Prosecco Valdobienne,86,49,Cyperaceae
Cleaner - Comet,64,91,Boraginaceae
Bar Mix - Lemon,42,86,Orthotrichaceae
Ecolab - Solid Fusion,79,94,Fabaceae
"Cheese - Boursin, Garlic / Herbs",1,89,Araliaceae
"Corn - Cream, Canned",64,84,Iridaceae
Chicken Breast Wing On,17,35,Nyctaginaceae
Cut Wakame - Hanawakaba,66,21,Poaceae
Tea - Camomele,30,39,Poaceae
Ecolab - Balanced Fusion,38,100,Lamiaceae
Wine - Magnotta - Cab Franc,43,56,Poaceae
Pheasants - Whole,72,64,Theaceae
Appetizer - Asian Shrimp Roll,46,61,Convolvulaceae
"Sugar - Sweet N Low, Individual",5,17,Fabaceae
"Doilies - 12, Paper",37,56,Scrophulariaceae
"Chicken - Leg, Boneless",40,63,Fabaceae
Oil - Olive Bertolli,95,72,Rosaceae
Syrup - Monin - Blue Curacao,23,90,Ranunculaceae
Beef - Kobe Striploin,14,86,Liliaceae
"Mushroom - Trumpet, Dry",97,75,Onagraceae
Tuna - Loin,53,45,Verbenaceae
Veal - Insides Provini,97,48,Juglandaceae
Water - Tonic,7,98,Moraceae
"Pasta - Lasagna Noodle, Frozen",28,79,Vittariaceae
V8 Splash Strawberry Banana,11,21,Asteraceae
"Pepper - Green, Chili",70,14,Apocynaceae
Beef - Top Sirloin - Aaa,32,25,Gyalectaceae
Broom - Corn,15,11,Polypodiaceae
Coffee Decaf Colombian,16,16,Pottiaceae
Spring Roll Veg Mini,63,82,Asteraceae
Soup - Campbells Beef Strogonoff,100,48,Asteraceae
Anchovy Paste - 56 G Tube,38,72,Iridaceae
Tea - Lemon Scented,58,96,Asteraceae
Beer - Pilsner Urquell,89,53,Rosaceae
Aromat Spice / Seasoning,3,54,Pottiaceae
Beef - Texas Style Burger,93,23,Brassicaceae
"Syrup - Monin, Swiss Choclate",60,96,Cyperaceae
Baking Powder,62,30,Rosaceae
Jack Daniels,88,73,Boraginaceae
Burger Veggie,43,86,Polypodiaceae
Tomato - Peeled Italian Canned,35,13,Basellaceae
Coffee - Decafenated,3,23,Liliaceae
Muffin Mix - Carrot,14,15,Orchidaceae
Soup Knorr Chili With Beans,81,39,Pottiaceae
Bread - French Baquette,84,14,Brassicaceae
Oil - Macadamia,92,85,Rosaceae
"Oregano - Dry, Rubbed",57,25,Amaranthaceae
Cocoa Powder - Natural,99,64,Hydrophyllaceae
Extract - Raspberry,34,94,Chenopodiaceae
Ice Cream Bar - Rolo Cone,55,37,Lamiaceae
Pancetta,48,44,Pinaceae
Beer - Steamwhistle,34,8,Asteraceae
Creme De Cacao Mcguines,19,20,Saxifragaceae
Energy - Boo - Koo,12,97,Cactaceae
"Water - Mineral, Natural",82,37,Boraginaceae
Salt - Seasoned,38,46,Myrtaceae
Baking Powder,34,90,Ericaceae
Langers - Cranberry Cocktail,64,55,Stereocaulaceae
Island Oasis - Lemonade,41,100,Violaceae
Creamers - 10%,94,59,Cyperaceae
Energy - Boo - Koo,5,10,Liliaceae
Pasta - Angel Hair,78,3,Callicostaceae
"Sauce - White, Mix",3,10,Fabaceae
Energy Drink Bawls,23,59,Aceraceae
Flavouring Vanilla Artificial,6,60,Caliciaceae
Beef - Kobe Striploin,4,3,Poaceae
Truffle Cups - Brown,21,66,Amaranthaceae
Apricots - Dried,91,51,Acarosporaceae
Vinegar - Red Wine,30,1,Fabaceae
Island Oasis - Magarita Mix,66,94,Caprifoliaceae
Longos - Grilled Chicken With,82,84,Corticiaceae
Wine - Blue Nun Qualitatswein,67,76,Poaceae
Nori Sea Weed,77,50,Bromeliaceae
Fudge - Cream Fudge,28,4,Fabaceae
Rice - 7 Grain Blend,83,93,Salicaceae
Coffee - 10oz Cup 92961,83,1,Caprifoliaceae
True - Vue Containers,69,22,Zygophyllaceae
"Bread - White, Unsliced",27,89,Asteraceae
Cookies - Englishbay Chochip,40,70,Podostemaceae
Macaroons - Two Bite Choc,63,4,Onagraceae
Veal - Ground,97,94,Phytolaccaceae
Lamb - Shanks,42,49,Crassulaceae
Wine - Jaboulet Cotes Du Rhone,84,45,Amaranthaceae
Madeira,60,14,Dryopteridaceae
Muffin Batt - Blueberry Passion,55,32,Cyperaceae
Gatorade - Xfactor Berry,63,59,Asteraceae
Versatainer Nc - 8288,22,55,Apiaceae
Gherkin - Sour,97,43,Rubiaceae
"Tortillas - Flour, 8",22,72,Asteraceae
Cakes Assorted,89,17,Lecanoraceae
Longos - Cheese Tortellini,51,95,Asteraceae
Water - Spring Water 500ml,89,5,Brachytheciaceae
Daves Island Stinger,64,93,Rubiaceae
Pepper - Green,66,87,Ranunculaceae
Muffin Batt - Blueberry Passion,46,92,Poaceae
Squid Ink,48,42,Heliconiaceae
Tart - Butter Plain Squares,90,34,Sarraceniaceae
Gloves - Goldtouch Disposable,15,50,Poaceae
Squash - Sunburst,16,90,Dryopteridaceae
Pectin,28,88,Rosaceae
Beef - Rib Eye Aaa,33,18,Fuscideaceae
"Tortillas - Flour, 12",14,28,Parmeliaceae
Broom - Angled,13,79,Cladoniaceae
Sea Urchin,22,89,Cyperaceae
Wine - Gato Negro Cabernet,61,14,Araceae
Ice Cream Bar - Hageen Daz To,32,8,Lecideaceae
Lettuce Romaine Chopped,79,27,Thelypteridaceae
Wine - Remy Pannier Rose,39,18,Caryophyllaceae
Gelatine Leaves - Envelopes,64,70,Asteraceae
Tamarillo,38,20,Euphorbiaceae
Soup - Campbells Chili Veg,43,16,Apiaceae
Curry Paste - Madras,28,83,Fabaceae
External Supplier,14,51,Lauraceae
"Lamb - Leg, Bone In",6,37,Asteraceae
Beef - Ox Tongue,88,73,Ranunculaceae
"Juice - Pineapple, 48 Oz",100,22,Scrophulariaceae
Cleaner - Pine Sol,57,89,Asteraceae
Clams - Bay,2,81,Campanulaceae
Muffin Mix - Morning Glory,48,19,Thelypteridaceae
Hot Chocolate - Individual,81,52,Polygonaceae
Shrimp - 100 / 200 Cold Water,43,70,Polygonaceae
Glove - Cutting,16,49,Asteraceae
Cake - Lemon Chiffon,41,14,Fabaceae
Muffin Batt - Ban Dream Zero,22,94,Asteraceae
"Cheese - Romano, Grated",54,57,Polygonaceae
Beans - Butter Lrg Lima,61,73,Papaveraceae
"Cheese - Mozzarella, Shredded",85,62,Grossulariaceae
Mayonnaise - Individual Pkg,21,86,Cyperaceae
Soup Campbells Mexicali Tortilla,4,44,Caryophyllaceae
"Tabasco Sauce, 2 Oz",46,3,Fabaceae
Spring Roll Veg Mini,50,9,Rosaceae
Zucchini - Green,96,22,Cyperaceae
"Lettuce - Mini Greens, Whole",70,2,Fissidentaceae
Brandy Cherry - Mcguinness,6,49,Nymphaeaceae
Chips - Doritos,60,97,Lamiaceae
Island Oasis - Wildberry,3,18,Rosaceae
"Pork - Back, Short Cut, Boneless",90,75,Scrophulariaceae
Tea - Grapefruit Green Tea,25,98,Euphorbiaceae
"Pineapple - Canned, Rings",92,60,Primulaceae
Onions - Green,30,23,Onagraceae
"Nut - Pistachio, Shelled",74,27,Physciaceae
Juice - Lemon,49,29,Fabaceae
Peas Snow,3,98,Boraginaceae
Potatoes - Yukon Gold 5 Oz,36,26,Fabaceae
Veal - Insides Provini,44,60,Scrophulariaceae
Extract - Rum,6,8,Asteraceae
"Pepsi - Diet, 355 Ml",24,20,Brassicaceae
"Shrimp - Baby, Warm Water",4,79,Polygonaceae
"Salmon - Atlantic, No Skin",17,56,Asteraceae
"Wine - White, Lindemans Bin 95",13,5,Brassicaceae
Jolt Cola,37,1,Malvaceae
Wine - Jackson Triggs Okonagan,24,8,Poaceae
Pate - Cognac,36,28,Poaceae
Creme De Banane - Marie,95,95,Fabaceae
Marjoram - Fresh,27,78,Poaceae
Bonito Flakes - Toku Katsuo,18,51,Cucurbitaceae
Hersey Shakes,36,76,Begoniaceae
Raisin - Golden,27,39,Rutaceae
Tarts Assorted,100,53,Polypodiaceae
Chocolate Bar - Oh Henry,57,76,Aizoaceae
Extract - Almond,67,14,Anacardiaceae
Dill Weed - Dry,18,98,Asteraceae
"Turkey - Whole, Fresh",39,43,Teloschistaceae
Nantucket Cranberry Juice,16,63,Ebenaceae
Dried Apple,5,50,Ptychomitriaceae
"Pasta - Canelloni, Single Serve",28,67,Scrophulariaceae
Higashimaru Usukuchi Soy,29,33,Atheliaceae
"Beef - Cooked, Corned",31,92,Asteraceae
Foam Tray S2,60,27,Bromeliaceae
"Seedlings - Mix, Organic",48,64,Aristolochiaceae
The Pop Shoppe - Grape,3,59,Thymelaeaceae
Blueberries - Frozen,74,24,Physciaceae
Cheese - Brie Roitelet,15,19,Scrophulariaceae
Extract - Almond,51,29,Gomphillaceae
Sugar - Brown,17,97,Polemoniaceae
Fondant - Icing,38,81,Rosaceae
Grapefruit - Pink,60,79,Asteraceae
Cucumber - English,80,61,Asteraceae
Sauce - Ranch Dressing,66,67,Lamiaceae
The Pop Shoppe - Grape,52,32,Saxifragaceae
Wine - Ruffino Chianti Classico,50,100,Scrophulariaceae
"Nut - Pistachio, Shelled",97,38,Cupressaceae
"Split Peas - Green, Dry",93,32,Zosteraceae
Potatoes - Peeled,17,9,Seligeriaceae
Tea - Apple Green Tea,59,23,Asteraceae
Peach - Halves,100,64,Amaranthaceae
"Pasta - Gnocchi, Potato",100,80,Caryophyllaceae
Wood Chips - Regular,95,87,Onagraceae
Vinegar - Champagne,7,72,Liliaceae
Ecolab Crystal Fusion,64,1,Cyperaceae
Cheese - Roquefort Pappillon,27,37,Commelinaceae
"Apple - Delicious, Golden",57,66,Scrophulariaceae
"Wine - Bourgogne 2002, La",54,23,Fabaceae
Clam - Cherrystone,27,53,Chenopodiaceae
Zucchini - Green,69,83,Euphorbiaceae
Squash - Sunburst,42,3,Asteraceae
"Tortillas - Flour, 12",17,92,Boraginaceae
"7up Diet, 355 Ml",84,2,Apiaceae
Soup - Campbells Beef Noodle,28,73,Ericaceae
Potatoes - Parissienne,13,22,Boraginaceae
English Muffin,41,26,Rhamnaceae
"Brownies - Two Bite, Chocolate",27,26,Asteraceae
Mushroom - Crimini,40,58,Fabaceae
"Sugar - Sweet N Low, Individual",33,46,Primulaceae
Macaroons - Homestyle Two Bit,61,94,Acanthaceae
Dehydrated Kelp Kombo,23,32,Cupressaceae
Wine - Masi Valpolocell,62,49,Lichinaceae
Curry Powder,31,82,Liliaceae
Puff Pastry - Slab,10,59,Parmeliaceae
Pie Filling - Cherry,58,77,Lauraceae
Muffin Mix - Chocolate Chip,73,92,Polemoniaceae
Soup Campbells,8,9,Asteraceae
Steampan Lid,3,30,Chenopodiaceae
Apple - Granny Smith,48,55,Acarosporaceae
Flour - So Mix Cake White,86,99,Blechnaceae
Chutney Sauce,44,59,Polygonaceae
"Wine - Red, Cooking",66,15,Viscaceae
Bread Base - Goodhearth,99,3,Asteraceae
Hummus - Spread,71,8,Rosaceae
Wine - Chablis J Moreau Et Fils,38,10,Fabaceae
Lamb - Shoulder,91,21,Asteraceae
"Veal - Brisket, Provimi, Bone - In",37,18,Primulaceae
Onions - Cooking,71,29,Fagaceae
"Potatoes - Purple, Organic",47,83,Asteraceae
Nescafe - Frothy French Vanilla,20,1,Fabaceae
Juice - Happy Planet,78,1,Onagraceae
"Sparkling Wine - Rose, Freixenet",82,77,Asteraceae
"Sole - Dover, Whole, Fresh",29,82,Poaceae
Longos - Grilled Salmon With Bbq,45,39,Asteraceae
Trueblue - Blueberry 12x473ml,44,41,Arthoniaceae
Cheese - Bocconcini,41,81,Brassicaceae
"Wine - Harrow Estates, Vidal",73,20,Poaceae
Capers - Pickled,12,83,Fabaceae
Longos - Chicken Wings,84,81,Canellaceae
Pails With Lids,45,14,Asteraceae
Soho Lychee Liqueur,48,73,Fabaceae
Pike - Frozen Fillet,18,100,Poaceae
"Fish - Soup Base, Bouillon",3,97,Asteraceae
"Lemonade - Island Tea, 591 Ml",84,6,Asteraceae
Grapefruit - White,80,71,Clusiaceae
Squid - U - 10 Thailand,54,29,Pottiaceae
Bread - Corn Muffaleta Onion,58,26,Cactaceae
Ecolab - Medallion,6,83,Hydrophyllaceae
Truffle Cups - Red,61,37,Parmeliaceae
Syrup - Monin - Blue Curacao,51,9,Caprifoliaceae
Longos - Chicken Wings,69,40,Moraceae
Shrimp - Black Tiger 13/15,87,70,Fabaceae
Kahlua,2,100,Lamiaceae
Smoked Tongue,81,5,Bromeliaceae
Rice - Brown,84,75,Rosaceae
Food Colouring - Blue,8,51,Orchidaceae
Soup - Campbells Beef Noodle,96,35,Asteraceae
Wine - Remy Pannier Rose,27,100,Cyperaceae
Jolt Cola - Electric Blue,37,7,Pteridaceae
Wine - Soave Folonari,71,56,Andreaeaceae
Mushroom - Lg - Cello,47,62,Liliaceae
Bananas,70,73,Solanaceae
Container - Clear 32 Oz,67,83,Orchidaceae
Lettuce - Treviso,64,60,Poaceae
"Roe - Lump Fish, Red",73,77,Rubiaceae
Wine - Masi Valpolocell,72,36,Sapotaceae
Sauce - Plum,39,81,Melastomataceae
Beer - Mill St Organic,23,47,Asteraceae
Soup Campbells - Tomato Bisque,7,72,Lichinaceae
Yeast Dry - Fermipan,15,24,Limnanthaceae
Flower - Carnations,26,64,Opegraphaceae
"Iced Tea - Lemon, 460 Ml",2,25,Physciaceae
Kiwi,30,60,Malvaceae
"Yeast - Fresh, Fleischman",56,27,Rubiaceae
"Salt - Rock, Course",46,60,Onagraceae
Bar - Sweet And Salty Chocolate,29,69,Poaceae
Wine - Piper Heidsieck Brut,63,8,Boraginaceae
Wine - Lou Black Shiraz,69,49,Fabaceae
Broom - Angled,59,42,Brassicaceae
Lamb - Bones,53,26,Fabaceae
Pear - Packum,80,91,Asteraceae
Lettuce - Frisee,27,28,Rosaceae
"Pepper - Paprika, Hungarian",41,85,Dicranaceae
Lobster - Cooked,97,94,Liliaceae
Wine - Segura Viudas Aria Brut,52,16,Gentianaceae
Vinegar - Rice,86,36,Agavaceae
Whmis - Spray Bottle Trigger,29,83,Fabaceae
Pastry - Raisin Muffin - Mini,69,42,Berberidaceae
Hot Choc Vending,7,65,Euphorbiaceae
Beer - Fruli,18,66,Polemoniaceae
Island Oasis - Mango Daiquiri,83,87,Paeoniaceae
Rice Wine - Aji Mirin,97,76,Asclepiadaceae
Pastry - Banana Tea Loaf,25,89,Nyctaginaceae
Steam Pan Full Lid,21,82,Euphorbiaceae
Fish - Bones,83,26,Hymenophyllaceae
Oil - Hazelnut,18,19,Cactaceae
Wine - Pinot Grigio Collavini,65,48,Lamiaceae
Rice Wine - Aji Mirin,97,51,Pottiaceae
Bandage - Finger Cots,81,40,Boraginaceae
Oil - Olive,18,61,Poaceae
Cheese Cloth,46,53,Agavaceae
Beer - Original Organic Lager,25,71,Ericaceae
"Tart Shells - Savory, 3",61,46,Amblystegiaceae
Coffee - Cafe Moreno,76,79,Asteraceae
Puff Pastry - Sheets,84,12,Fabaceae
Sauce - Balsamic Viniagrette,35,49,Polygonaceae
